track_id,artist,track_name,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics
4iJyoBOLtHqaGxP12qzhQI,Justin Bieber,Peaches,198081,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03," I got my peaches out in Georgia (Oh, yeah, shit) I get my weed from California (That's that shit) I took my chick up to the North, yeah (Badass bitch) I get my light right from the source, yeah (Yeah, that’s it)  And I say, oh (Oh) The way I breathe you in (In) It's the texture of your skin I wanna wrap my arms around you, baby Never let you go, oh And I say, oh There's nothing like your touch It’s the way you lift me up, yeah And I'll be right here with you 'til the end of time  I got my peaches out in Georgia (Oh, yeah, shit) I get my weed from California (That's that shit) I took my chick up to the North, yeah (Badass bitch) I get my light right from the source, yeah (Yeah, that's it)  You ain't sure yet But I'm for ya All I can want, all I can wish for Nights alone that we miss more And days we save as souvenirs There's no time, I wanna make more time And give you my whole life I left my girl, I’m in Mallorca Hate to leave her, call it torture Remember when I couldn’t hold her Left her baggage for Rimowa"
37BZB0z9T8Xu7U3e65qxFy,The Weeknd,Save Your Tears,191013,0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,118.091,"[ Intro ] Ooh Na-na, yeah  I saw you dancing in a crowded room (Uh) You look so happy when I'm not with you But then you saw me, caught you by surprise A single teardrop falling from your eye  I don't know why I run away I make you cry when I run away  You could've asked me why I broke your heart You could've told me that you fell apart But you walked past me like I wasn't there And just pretended like you didn't care  I don't know why I run away I make you cry when I run away  Take me back 'cause I wanna stay Save your tears for another"
0gplL1WMoJ6iYaPgMCL0gX,Adele,Easy On Me,224694,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981," There ain't no gold in this river That I've been washin' my hands in forever I know there is hope in these waters But I can't bring myself to swim When I am drowning in this silence Baby, let me in  Go easy on me, baby I was still a child Didn't get the chance to Feel the world around me I had no time to choose what I chose to do So go easy on me  There ain't no room for things to change When we are both so deeply stuck in our ways You can't deny how hard I've tried I changed who I was to put you both first But now I give up  Go easy on mе, baby I was still a child Didn't get the chance to Feel thе world around me Had no time to choose what I chose to do So go easy on me"
3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,279204,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002," Good day in my mind, safe to take a step out Get some air now, let yo edge out Too soon, I spoke You be heavy in my mind, can you get the heck out? I need rest now, got me bummed out You so, you so, you Baby, baby, babe I've been on my empty mind shit  I try to keep from losin' the rest of me I worry that I wasted the best of me on you, babe You don't care Said, ""Not tryna be a nuisance, this is urgent"" Tryna make sense of loose change Got me a war in my mind Gotta let go of weight, can't keep what's holdin' me Choose to watch while the world break up in front of me [Chorus: SZA,  Jacob Collier  &  Both ] All the while, I'll await my armored fate with a smile Still wanna try, still believe in Good days , good days, always Always inside ( Always in my mind, always in my mind, mind ) Good day living in my mind"
6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,172626,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998," Hey, woman Hey, woman  ( Ayy ) Woman Let me be your woman Woman, woman, woman ( Ayy ) I can be your woman Woman, woman, woman ( Ayy ) Let me be your woman Woman, woman, woman ( Ayy ) I can be your woman Woman, woman, woman ( Ayy )  What you need? She give tenfold, come here, papa, plant your seed She can grow right from her womb a family Provide lovin' overlooked and unappreciated, you see  ( Ayy ) You can reciprocate I got delicious taste, you need a woman's touch in your place Just protect her and keep her safe Baby, worship my hips and waist So feminine with grace I touch your soul when you hear me say, ""Boy"" Let me be your woman"
6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,34+35,173710,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978," Hmm  You might think I'm crazy The way I've been cravin' If I put it quite plainly Just gimme them babies So what you doin' tonight? Better say, ""Doin' you right"" (Yeah) Watchin' movies, but we ain't seen a thing tonight (Yeah)  I don't wanna keep you up (You up) But show me, can you keep it up? (It up) 'Cause then I'll have to keep you up Shit, maybe I'ma keep you up, boy I've been drinkin' coffee (I've been drinkin' coffee; coffee) And I've been eatin' healthy (I've been eatin' healthy; healthy) You know I keep it squeaky, yeah (You know I keep it squeaky; squeaky) Savin' up my energy (Yeah, yeah, savin' up my energy)  Can you stay up all night? Fuck me 'til the daylight Thirty-four, thirty-five (Ah) Can you stay up all night? (All night) Fuck me 'til the daylight Thirty-four, thirty-five (Ah)"
40iJIUlhi6renaREYGeIDS,Drake,Fair Trade,291175,0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,167.937,"[Intro: Drake &  Charlotte Day Wilson ] I don't understand why you blame me Just take me as I am, it's the same me We should be  (Yeah) Senseless sight to see Yeah Senseless sight to see Ayy  Feelin' young but they treat me like the OG And they want the tea on me, I swear these bitches nosey Said he put some money on my head, I guess we gon' see I won't put no money on his head, my niggas owe me I gotta be single for a while, you can't control me Uno, dos, tres, in a race, they can't hold me And I show my face in a case so you know it's me Imitation isn't flattery, it's just annoyin' me And I'm too about it And the dirt that they threw on my name Turned to soil and I grew up out it Time for y'all to figure out what y'all gon' do about it Big wheels keep rollin', rollin'  I'm outside, twenty-nine, G5, seaside I've been losin' friends and findin' peace But honestly that sound like a fair trade to me If I ever hurt one and I'm still here Outside, frontline, Southside I've been losin' friends and findin' peace Honestly that sound like a fair trade to me"
3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',211560,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002," Put your lovin' hand out, baby 'Cause I'm beggin'  I'm beggin', beggin' you So put your loving hand out, baby I'm beggin', beggin' you So put your loving hand out, darlin'  Riding high when I was king I played it hard and fast, 'cause I had everything I walked away, you won me then But easy come and easy go and it would end  So anytime I bleed, you let me go Yah, anytime I feed, you get me, no Anytime I seek, you let me know But I plant and seed, just let me go I'm on my knees when I'm beggin' 'Cause I don't wanna lose you Hey, yeah, ra-ta-ta-ta!  'Cause I'm beggin', beggin' you Uh, put your loving hand out, baby I'm beggin', beggin' you, ah And put your loving hand out, darlin'"
463CkQjx2Zk1yXoBuierM9,Dua Lipa,Levitating,203064,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977," If you wanna run away with me, I know a galaxy And I can take you for a ride I had a premonition that we fell into a rhythm Where the music don't stop for life Glitter in the sky, glitter in my eyes Shining just the way I like If you're feeling like you need a little bit of company You met me at the perfect time  You want me, I want you, baby My sugarboo, I'm levitating The Milky Way, we're renegading Yeah, yeah, yeah, yeah, yeah  I got you, moonlight, you're my starlight I need you all night, come on, dance with me I'm levitating You, moonlight, you're my starlight ( You're the  moonlight ) I need you all night, come on, dance with me I'm levitating  I believe that you're for me, I feel it in our energy I see us written in the stars We can go wherever, so let's do it now or never Baby, nothing's ever, ever too far Glitter in the sky, glitter in our eyes Shining just the way we are I feel like we're forever every time we get together But whatever, let's get lost on Mars"
3VqeTFIvhxu3DIe4eZVzGq,BTS,Butter,164441,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0906,0.695,109.997,"[Verse 1: Jung Kook,  V  &  j-hope ] Smooth like butter Like a criminal undercover Gon' pop like trouble Breakin' into your heart like that (Ooh) Cool shade stunner Yeah, I owe it all to my mother Hot like summer Yeah, I'm makin' you sweat like that Break it down [Pre-Chorus: Jin &  RM ] Ooh, when I look in the mirror I'll melt your heart into two I got that superstar glow so (Ooh) Do the boogie like [Chorus: Jung Kook,  Jimin  &  V ] Side step, right, left to my beat High like the moon, rock with me, baby Know that I got that heat Let me show you 'cause talk is cheap Side step, right, left to my beat Get it, let it roll [Verse 2: Jung Kook,  V ,  Jin  &  SUGA ] Smooth like butter Pull you in like no other Don't need no Usher To remind me you got it  bad Ain't no other That can sweep you up like a robber Straight up, I got ya Makin' you fall like that Break it down"
748mdHapucXQri7IAO8yFK,Doja Cat,Kiss Me More,208866,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968," We hug and, yes, we make love And always just say goodnight (La-la-la-la-la-la) And we cuddle, sure, I do love it But I need your lips on mine  Can you kiss me more? We're so young, boy, we ain't got nothin' to lose, oh-oh It's just principle Baby, hold me 'cause I like the way you groove, oh-oh  Boy, you write your name, I can do the same Oh, I love the taste, la-la-la-la-la-la All on my tongue, I want it (La-la-la-la-la-la) Boy, you write your name, I can do the same Oh, I love the taste, la-la-la-la-la-la All on my tongue, I want it (La-la-la-la-la-la)  I, I feel like fuckin' somethin' But we could be corny, fuck it Sugar, I ain't no dummy, dummy I likе to say, ""What if?"" But if We could kiss and just cut the rubbish Then I might bе onto somethin' I ain't givin' you one in public I'm givin' you hundreds, fuck it Somethin' we just gotta get into Sign first, middle, last on the wisdom tooth Niggas wishin' that the pussy was a kissin' booth Taste breakfast, lunch, and gin and juice And that dinner just like dessert too And when we French, refresh, give me two When I bite that lip, come get me too He want lipstick, lip gloss, hickeys too, huh"
4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,298899,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055," When I'm away from you I'm happier than ever Wish I could explain it better I wish it wasn't true  Give me a day or two to think of something clever To write myself a letter To tell me what to do, mm-mm Do you read my interviews? Or do you skip my avenue? When you said you were passin' through Was I even on your way? I knew when I asked you to (When I asked you to) Be cool about what I was tellin' you You'd do the opposite of what you said you'd do (What you said you'd do) And I'd end up more afraid Don't say it isn't fair You clearly werеn't aware that you made me misеrable So if you really wanna know  When I'm away from you (When I'm away from you) I'm happier than ever (Happier than ever) Wish I could explain it better (Wish I could explain it better) I wish it wasn't true, mm-mm"
5enxwA8aAbwZbf5qCHORXi,Taylor Swift,All Too Well,613026,0.631,0.518,0,-8.771,1,0.0303,0.274,0.0,0.088,0.205,93.023," I walked through the door with you, the air was cold But something 'bout it felt like home somehow And I left my scarf there at your sister's house And you've still got it in your drawer, even now  Oh, your sweet disposition and my wide-eyed gaze We're singing in the car, getting lost upstate Autumn leaves falling down like pieces into place And I can picture it after all these days  And I know it's long gone and That magic's not here no more And I might be okay, but I'm not fine at all Oh, oh, oh  'Cause there we are again on that little town street You almost ran the red 'cause you were lookin' over at me Wind in my hair, I was there I remember it all too well  Photo album on the counter, your cheeks were turning red You used to be a little kid with glasses in a twin-sized bed And your mother's telling stories 'bout you on the tee-ball team You taught me 'bout your past, thinking your future was me"
7hU3IHwjX150XLoTVmjD0q,LISA,MONEY,168227,0.831,0.554,1,-9.998,0,0.218,0.161,6.12e-05,0.152,0.396,140.026," It's the end of the month and the weekend I'ma spend this check, everything on me, yeah I'ma tip myself, I'ma spend it on myself I'ma drop it like it's pourin', I'ma pour it on myself  Che-che-che-check that money-makin' bank account number (Yikes) That's that shit that's never gettin' bounced on ya Bitch, I do the money dance, I just made a hundred bands When the store says, ""Sign for it,"" I'ma leave my autograph  Dolla' bills, dolla' bills Watch it fallin' for me, I love the way that feels Dolla' bills, dolla' bills Keep on fallin' for me, I love thе way it feels  I came here to drop somе money, droppin' all my money Drop some money, all this bread so yummy, yeah Twerkin', twerkin' when I buy the things I like Dolla', dollas droppin' on my ass tonight  Everyone silent, listen to my money talk Spend how I like it, yeah, everyone know what I mean, mean When they see green, when they see green, that mean go Give me what the hell I want, give me what the hell I want"
3Ofmpyhv5UAQ70mENzB277,Masked Wolf,Astronaut In The Ocean,132780,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996," Astronaut  What you know about rollin' down in the deep? When your brain goes numb, you can call that mental freeze When these people talk too much, put that shit in slow motion, yeah I feel like an astronaut in the ocean, ayy What you know about rollin' down in the deep? When your brain goes numb, you can call that mental freeze When these people talk too much, put that shit in slow motion, yeah I feel like an astronaut in the ocean  She say that I'm cool (Damn straight) I'm like, ""Yeah, that's true"" (That's true) I believe in G-O-D (Ayy) Don't believe in T-H-O-T She keep playing me dumb (Play me) I'ma play her for fun (Uh-huh) Y'all don't really know my mental Let me give you the picture like stencil Fallin' out in a drought No flow, rain wasn't pourin' down (Pourin' down) See, that pain was all around See, my mode was kinda lounged Didn't know which, which way to turn Flow was cool but I still felt burnt Energy up, you can feel my surge I'ma kill everything like this purge (Ayy)"
